Magyar bajnokcsataok listája
1901;Budapesti TC;-
1902;Budapesti TC;-
1903;Ferencvárosi TC;-
1904;MTK;-
1905;Ferencvárosi TC;-
1906–07;Ferencvárosi TC;-
1907–08;MTK;-
1908–09;Ferencvárosi TC;-
1909–10;Ferencvárosi TC;MTK
1910–11;Ferencvárosi TC;MTK
1911–12;Ferencvárosi TC;MTK
1912–13;Ferencvárosi TC;Ferencvárosi TC
1913–14;MTK;MTK
1914 ősz* (nem hivatalos);Ferencvárosi TC;-
1915 tavasz* (nem hivatalos);Ferencvárosi TC;-
1915 ősz* (nem hivatalos);MTK;-
1916–17;MTK;-
1917–18;MTK;-
1918–19;MTK;-
1919–20;MTK;-
1920–21;MTK;-
1921–22;MTK;Ferencvárosi TC
1922–23;MTK;MTK
1923–24;MTK;-
1924–25;MTK;MTK
1925–26;Ferencvárosi TC;Kispesti AC
1926–27;Ferencváros FC;Ferencváros FC
1927–28;Ferencváros FC;Ferencváros FC
1928–29;Hungária FC;-
1929–30;Újpest FC;Bocskai FC (Debrecen)
1930–31;Újpest FC;III. kerület
1931–32;Ferencváros FC;Hungária FC
1932–33;Újpest FC;Ferencváros FC
1933–34;Ferencváros FC;Soroksári TE
1934–35;Újpest FC;Ferencváros FC
1935–36;Hungária FC;-
1936–37;Hungária FC;-
1937–38;Ferencváros FC;-
1938–39;Újpest FC;-
1939–40;Ferencváros FC;-
1940–41;Ferencváros FC;Szolnoki MÁV TE
1941–42;Weiss Manfréd FC (Csepel);Ferencváros FC
1942–43;Weiss Manfréd FC (Csepel);Ferencváros FC
1943–44;Nagyváradi AC;Ferencváros FC
1944* (nem hivatalos);Ferencváros FC;-
1945;Újpesti TE;-
1945–46;Újpesti TE;-
1946–47;Újpesti TE;-
1947–48;Csepeli MTK;-
1948–49;Ferencvárosi TC;-
1949–50;Budapesti Honvéd;-
1950;Budapesti Honvéd;-
1951;Budapesti Bástya;-
1952;Budapesti Honvéd;Budapesti Bástya
1953;Budapesti Vörös Lobogó;-
1954;Budapesti Honvéd;-
1955;Budapesti Honvéd;Vasas SC
1956* (félbeszakadt);Budapesti Honvéd;-
1957;Vasas SC;-
1957–58;MTK;Ferencvárosi TC
1958–59;Csepel SC;-
1959–60;Újpesti Dózsa;-
1960–61;Vasas SC;-
1961–62;Vasas SC;-
1962–63;Ferencvárosi TC;-
1963;Győri Vasas ETO;-
1964;Ferencvárosi TC;Budapesti Honvéd
1965;Vasas SC;Győri ETO
1966;Vasas SC;Győri ETO
1967;Ferencvárosi TC;Győri ETO
1968;Ferencvárosi TC;MTK
1969;Újpesti Dózsa;Újpesti Dózsa
1970;Újpesti Dózsa;-
1970–71;Újpesti Dózsa;Újpesti Dózsa
1971–72;Újpesti Dózsa;Ferencvárosi TC
1972–73;Újpesti Dózsa;Vasas SC
1973–74;Újpesti Dózsa;Ferencvárosi TC
1974–75;Újpesti Dózsa;Újpesti Dózsa
1975–76;Ferencvárosi TC;Ferencvárosi TC
1976–77;Vasas SC;Diósgyőri VTK
1977–78;Újpesti Dózsa;Ferencvárosi TC
1978–79;Újpesti Dózsa;Rába ETO
1979–80;Budapesti Honvéd;Diósgyőri VTK
1980–81;Ferencvárosi TC;Vasas SC
1981–82;Rába ETO;Újpesti Dózsa
1982–83;Rába ETO;Újpesti Dózsa
1983–84;Budapesti Honvéd;Siófoki Bányász SE
1984–85;Budapesti Honvéd;Budapesti Honvéd
1985–86;Budapesti Honvéd;Vasas SC
1986–87;MTK-VM;Újpesti Dózsa
1987–88;Budapesti Honvéd;Békéscsabai Előre SC
1988–89;Budapesti Honvéd;Budapesti Honvéd
1989–90;Újpesti Dózsa;Pécsi Munkás SC
1990–91;Budapesti Honvéd;Ferencvárosi TC
1991–92;Ferencvárosi TC;Újpesti TE
1992–93;Kispest-Honvéd FC;Ferencvárosi TC
1993–94;Vác FC-Samsung;Ferencvárosi TC
1994–95;Ferencvárosi TC;Ferencvárosi TC
1995–96;Ferencvárosi TC;Kispest-Honvéd FC
1996–97;MTK FC;MTK FC
1997–98;Újpesti TE;MTK Hungária FC
1998–99;MTK Hungária FC;DVSC-Epona
1999–00;Dunaferr SE;MTK Hungária FC
2000–01;Ferencvárosi TC;Debreceni VSC
2001–02;Zalahús ZTE FC;Újpest FC
2002–03;MTK Hungária FC;Ferencvárosi TC
2003–04;Ferencvárosi TC;Ferencvárosi TC
2004–05;Debreceni VSC-AVE Ásványvíz;Matáv Sopron
2005–06;Debreceni VSC-AVE Ásványvíz;FC Fehérvár
2006–07;DVSC-Teva;Bp. Honvéd
2007–08;MTK Budapest;DVSC-Teva
2008–09;DVSC-Teva;Bp. Honvéd
2009–2010;DVSC-Teva;DVSC-Teva
2010–2011;Videoton FC;Kecskeméti TE
2011–2012;DVSC-Teva;DVSC-Teva
2012–2013;Győri ETO;DVSC-Teva
2013–2014;DVSC-Teva;Újpest FC
2014–2015;Videoton;Ferencvárosi TC
2015–2016;Ferencvárosi TC;Ferencvárosi TC
2016–2017;Budapest Honvéd;Ferencvárosi TC
2017–2018;Videoton;Újpest
2018–2019;Ferencvárosi TC;Mol Vidi FC
2019–2020;Ferencvárosi TC;Budapest Honvéd
2020–2021;Ferencvárosi TC;Újpest FC
